vedadc_n,vantig_n,vnline_n,vgamma_c,veaseg_c,vctcpl_n,vccdeu_n,vccdeu_n,ttkbco_n,vtarge_c
61,,1,PREMIUM PLUS,n,16,0,0,12344873,0
58,27,1,,s,15,2,2,3863522,0
54,157,1,PREMIUM PLUS,s,82,28,28,2647072,0
17,,6,PREMIUM,n,6,0,0,519390,0
61,,2,PREMIUM PLUS,n,6,0,0,437753,0
116,153,3,PREMIUM PLUS,s,10,0,0,13532588,0
117,,3,MEDIA,n,108,43,43,0,0
48,,4,PREMIUM PLUS,n,11,0,0,4715116,0
74,,1,PREMIUM,n,23,4,4,0,0
47,,3,PREMIUM,n,40,8,8,1623311,0
56,,5,,n,16,1,1,0,0
60,76,2,PREMIUM PLUS,n,11,1,1,1756814,0
117,,2,PREMIUM,n,23,1,1,0,0
57,,2,PREMIUM PLUS,n,16,0,0,3083427,0
,,1,PREMIUM,n,10,1,1,0,0
43,,2,PREMIUM PLUS,n,74,24,24,0,0
64,,1,ALTA,n,52,11,11,756425,0
53,,1,PREMIUM,n,38,13,13,7760555,0
54,88,3,PREMIUM,n,26,2,2,4534814,0
62,,1,PREMIUM PLUS,n,17,0,0,2372075,0
68,,1,,n,50,15,15,0,0
59,,1,,n,36,8,8,0,0
49,,3,,n,13,2,2,5757865,0
65,,1,PREMIUM,n,24,1,1,0,0
65,,1,PREMIUM PLUS,n,18,1,1,633569,0
48,,5,PREMIUM PLUS,n,30,0,0,1676756,0
,,1,PREMIUM,n,26,7,7,81083,0
54,,1,PREMIUM PLUS,n,19,2,2,0,0
,,1,PREMIUM PLUS,n,41,8,8,0,0
12,142,1,ALTA,n,23,2,2,0,0
62,,1,PREMIUM PLUS,n,23,1,1,0,0
53,,2,,n,1,0,0,0,0
45,,1,PREMIUM PLUS,n,11,0,0,1875338,0
44,,1,PREMIUM,n,54,14,14,0,0
,60,1,PREMIUM PLUS,n,18,4,4,5921817,0
65,,1,MEDIA,n,27,3,3,408023,0
